city_id,utcOffset,station,station_id,url,station_name,station_description,station_genre,station_url
uF6sb3eR,60,Scotland69am,gsjTSwAm,/listen/scotland69am/gsjTSwAm,1 ABL Scotland69am,,Misc,https://scotland69am.com
3QbMs4L3,120,ON Smooth Jazz,1vp7oYur,/listen/on-smooth-jazz/1vp7oYur,- 0 N - Smooth Jazz on Radio,Beschwingt und leicht den Alltag genieï¿½en! Smooth Jazz rund um die Uhr. Das ist Balsam fï¿½r die Seele.,"Smooth, Jazz, Smoothjazz, Easy Listening, Chillout",http://www.0nradio.com
234a7MgF,60,Radio Xtra,1wFrt8lK,/listen/radio-xtra/1wFrt8lK,Radio Xtra,,HOT AC,https://www.radioxtra.co.uk
wtNFAzwK,180,Coni On Air,293WWNwU,/listen/coni-on-air/293WWNwU,Coni-OnAir Web Radio,,,
3QbMs4L3,120,ON Classic Rock,7nalkycy,/listen/on-classic-rock/7nalkycy,- 0 N - Classic Rock on Radio,Echte Legenden und Meilensteine der Rockgeschichte: Hier sind die grï¿½ï¿½ten Rockhits aller Zeiten!,"Classic Rock, Rock, 80s, 80er, 90s, 90er",http://www.0nradio.com
iLyOn86e,180,Raadio Elmar FM 88.5,I5ges0kU,/listen/raadio-elmar-fm-88-5/I5ges0kU,Elmar AAC,ï¿½hus on Eestit,pop,http://www.elmar.ee
3QbMs4L3,120,ON Fresh,IXNIew9P,/listen/on-fresh/IXNIew9P,- 0 N - Top 40 on Radio,Wirklich nur die aktuellen Chartbreaker sowie brandneue Hits nonstop!,"Top40, Hits, Pop, Rock, Dance, House",http://www.0nradio.com
4EESVNXg,-240,Perfectune FM,Mn4a6kku,/listen/perfectune-fm/Mn4a6kku,Perfectune FM Stream,,Easy Listening,https://www.perfectunefm.com
3QbMs4L3,120,1A Weihnachten,P5UDMXOr,/listen/1a-weihnachten/P5UDMXOr,- 1 A - Weihnachten von 1A Radio,Die schï¿½nsten deutschsprachigen Weihnachtslieder und Schlager zum Einstimmen auf das Fest.,"Weihnachten, Christliche Musik, Schlager, Discofox",http://www.1aradio.com
3QbMs4L3,120,ON Schlager Gold,PwPCue24,/listen/on-schlager-gold/PwPCue24,- 0 N - Schlager Gold on Radio,Erinnerungen an die gute alte Zeit: Nostalgie pur mit den Goldschlagern der 50er und 60er.,"Schlager, World Music, Oldies, 50s, 50er, 60s, 60er, Rock 'n' Roll",http://www.0nradio.com
n2jfDYCC,120,Thenral World Radio,QbRISnC8,/listen/thenralworldradio/QbRISnC8,ThenralWorldRadio,,Public Radio,http://www.ThenralWorldRadio.De
6RG0n58j,120,Countrykanalen Sweden,Y8ixnFfQ,/listen/countrykanalen/Y8ixnFfQ,Countrykanalen Sweden,,Country,http://www.countrykanalen.se/
InC1M7vI,60,Honesty Missions Radio,YJg7JIuE,/listen/honesty-missions-radio/YJg7JIuE,Honesty Radio Ng,,Misc,http://www.honestymusic.org
3QbMs4L3,120,1A 2000er,_npeqOYP,/listen/radio-1a-2000er/_npeqOYP,- 1 A - 2000er von 1A Radio,"Das sind die Stars des neuen Jahrtausends: Pop, Rock und Dance der 2000er im besten Mix.","2000s, 2000er, 00s, 00er, Pop, Dance, Rock, Hits",http://www.1aradio.com
8bpgLLGQ,-180,Real Estate Radio,j2V2sVEa,/listen/real-estate-radio/j2V2sVEa,Real Estate Radio,,Pop,http://www.realestateradio.com.ar
vR5wChh4,60,Lomond Radio,jBED4x17,/listen/lomond-radio/jBED4x17,Lomond Radio,,Charts and Throwbacks,www.lomondradio.co.uk
3QbMs4L3,120,ON 50s,jBWpLf9E,/listen/on-50s/jBWpLf9E,- 0 N - 50s on Radio,"Petticoats, Lederjacken und der Aufbruch in eine neue Zeit. Das sind die Hits der 50er.","50s, 60er, Rock 'n' Roll, Twist, Oldies",http://www.0nradio.com
0B2rs0E8,120,Oxygen Classics,l3SAKOIq,/listen/oxygen-classics/l3SAKOIq,OXYGEN CLASSICS,OXYGEN CLASSICS,KLASSZIKUS ZENE,https://oxygenmusic.hu
Hww81noL,120,Pinguin Classics,mHY4HGGK,/listen/pinguin-classics/mHY4HGGK,Pinguin Classics,Pinguin Classics,indie,pinguinradio.com
zBzV2plE,-180,Radio Vitrola,pwPkNLLk,/listen/radio-vitrola/pwPkNLLk,Radiovitrola.net - Mais do que ouvir mÃºsica,,Misc,
5jurvhBK,-300,Buenaza,--dUOiIu,/listen/buenaza/--dUOiIu,BUENAZA.COM.PE LA PRIMERA RADIO DIGITAL EN EL PERÃ,,Variado,buenaza.com.pe
-yWoQbQS,-180,Estância Web Rádio,-1-HyZyw,/listen/estancia-web-radio/-1-HyZyw,Estancia Web Radio,,NÃ£o especificado,http://localhost/
hFG1a7Dk,120,Tonikz,-3muRZpo,/listen/tonikz/-3muRZpo,RFW,,Unspecified,https://freie-welle.net
WzpJhOEg,180,goSPACE,-5NLi21N,/listen/go-space/-5NLi21N,goSPACE,,House,https://gofm.ro/
VFtd_rfk,180,Genesis FM,-5bItllJ,/listen/genesis-fm/-5bItllJ,GenesisFm,,,https://genesisfm.eu/
wP7mjQUB,-360,KVSF FM 101.5,-AT-t_Zj,/listen/kvsf-fm-101-5/-AT-t_Zj,KVSF,,Rock,http://santafe.com
KaE9CPG7,-240,1 Excel Radio,-AX81EqY,/listen/radio-1-excel-radio/-AX81EqY,1XL RADIO,1XL RADIO,TBD,http://www.1xlradio.com
uAvXtdlH,120,Radio Octopus,-Cqsh4Xg,/listen/radio-octopus/-Cqsh4Xg,RADIO OCTOPUS,,"Rock, Classic Rock, Alternative",https://www.radiooctopus.it
OSD8qnRE,-300,Power 99 - KKPR,-DMxbjzf,/listen/power-99-kkpr/-DMxbjzf,kkpr-aac,KKPR,,https://platteriverradio.com/
3QbMs4L3,120,ON Kids,-GL5Fsba,/listen/on-kids/-GL5Fsba,- 0 N - Kids on Radio,Rund um die Uhr Hits fï¿½r Kids: Das ist der groï¿½e Spaï¿½ fï¿½r die Kleinen!,"Children, Kids, Kinder, Top40, Hits, Pop, Rock, Dance",https://www.0nradio.com
8rtxWLhh,-240,Q105.3 - WRHQ,-Ha6KoPZ,/listen/q105-3-wrhq/-Ha6KoPZ,no name,,,
aU1opXUt,-240,Ancient FM,-KZR7rZZ,/listen/ancient-fm/-KZR7rZZ,Ancient FM,Ancient FM,Classical Renaissance,https://ancientfm.com
I4OQJ5D3,120,Radio Fox FM 97.9,-M9dEKFp,/listen/radio-fox-fm-97-9/-M9dEKFp,Radio Fox,,Various,http://www.radiofox.fr
eCT4ymBs,-180,Radio Alta Frequencia,-NG1yLgB,/listen/radio-alta-frequencia/-NG1yLgB,RÃ¡dio Alta FrequÃªncia,,NÃ£o especificado,http://localhost/
